2017,YR2017,Afghanistan,AFG,12.62081718,3.37331008911133,0.04
2017,YR2017,Africa Eastern and Southern,AFE,6.14907442367817,5.02312994003296,1.46880147501778
2017,YR2017,Africa Western and Central,AFW,3.78963052268832,3.43119990825654,0.490048983467965
2017,YR2017,Albania,ALB,5.01263571,3.61172008514404,0.04
2017,YR2017,Algeria,DZA,6.27938414,6.50538015365601,0.04
2017,YR2017,American Samoa,ASM,..,..,..
2017,YR2017,Andorra,AND,6.58945513,3.21708989143372,..
2017,YR2017,Angola,AGO,2.79150295,2.46688008308411,0.91
2017,YR2017,Antigua and Barbuda,ATG,4.87493944,2.44847989082336,..
2017,YR2017,Arab World,ARB,5.28079475147091,..,0.039243356988246
2017,YR2017,Argentina,ARG,10.44225502,5.45431995391846,0.14
2017,YR2017,Armenia,ARM,10.36270523,2.70759010314941,0.09
2017,YR2017,Aruba,ABW,..,..,..
2017,YR2017,Australia,AUS,9.26682281,5.12790012359619,0.04
2017,YR2017,Austria,AUT,10.38460541,5.3718900680542,..
2017,YR2017,Azerbaijan,AZE,3.73651457,2.47381997108459,0.05
2017,YR2017,"Bahamas, The",BHS,6.6088872,2.41849994659424,0.38
2017,YR2017,Bahrain,BHR,4.74279165,2.32452011108398,..
2017,YR2017,Bangladesh,BGD,2.43180156,..,..
2017,YR2017,Barbados,BRB,6.62216997,4.36638021469116,..
2017,YR2017,Belarus,BLR,5.75974846,4.79499006271362,0.2
2017,YR2017,Belgium,BEL,10.78312588,6.42534017562866,..
2017,YR2017,Belize,BLZ,5.79241371,7.45028018951416,0.56
2017,YR2017,Benin,BEN,2.61910868,3.53558993339539,0.31
2017,YR2017,Bermuda,BMU,..,1.32495999336243,..
2017,YR2017,Bhutan,BTN,3.3407371,7.2257399559021,0.11
2017,YR2017,Bolivia,BOL,6.4901948,..,0.1
2017,YR2017,Bosnia and Herzegovina,BIH,8.93797779,..,..
2017,YR2017,Botswana,BWA,6.13453388,7.09999990463257,5.31
2017,YR2017,Brazil,BRA,9.47124863,6.32047986984253,0.23
2017,YR2017,British Virgin Islands,VGB,..,2.66543006896973,..
2017,YR2017,Brunei Darussalam,BRN,2.27036428,..,..
2017,YR2017,Bulgaria,BGR,7.5206337,4.09102010726929,..
2017,YR2017,Burkina Faso,BFA,6.02940798,5.62846994400024,0.12
2017,YR2017,Burundi,BDI,7.90301847,4.76202011108398,0.21
2017,YR2017,Cabo Verde,CPV,5.27825785,5.18174982070923,..
2017,YR2017,Cambodia,KHM,5.72757244,..,0.08
2017,YR2017,Cameroon,CMR,3.49216461,3.15481996536255,0.86
2017,YR2017,Canada,CAN,10.83538342,..,..
2017,YR2017,Caribbean small states,CSS,6.25991417083316,4.41071999073029,0.43899031936459
2017,YR2017,Cayman Islands,CYM,..,..,..
2017,YR2017,Central African Republic,CAF,6.6654377,1.75364995002747,..
2017,YR2017,Central Europe and the Baltics,CEB,6.56187285786879,4.09102010726929,..
2017,YR2017,Chad,TCD,4.55722904,2.45481991767883,0.33
2017,YR2017,Channel Islands,CHI,..,..,..
2017,YR2017,Chile,CHL,9.06854153,5.41966009140015,0.27
2017,YR2017,China,CHN,5.06592178,3.66744995117188,..
2017,YR2017,Colombia,COL,7.67864275,4.53551006317139,0.19
2017,YR2017,Comoros,COM,5.26807404,..,0.01
2017,YR2017,"Congo, Dem. Rep.",COD,4.15646648,1.45494997501373,0.28
2017,YR2017,"Congo, Rep.",COG,2.51812744,4.44296979904175,1.86
2017,YR2017,Costa Rica,CRI,7.04522943,7.06980991363525,0.25
2017,YR2017,Cote d'Ivoire,CIV,3.30509853,3.80347990989685,0.43
2017,YR2017,Croatia,HRV,6.75844765,3.90566992759705,0.02
2017,YR2017,Cuba,CUB,11.7113266,..,0.18
2017,YR2017,Curacao,CUW,..,..,..
2017,YR2017,Cyprus,CYP,6.59893894,5.75416994094849,..
2017,YR2017,Czech Republic,CZE,7.14152622,3.80615997314453,..
2017,YR2017,Denmark,DNK,10.03963375,7.75243997573853,0.03
2017,YR2017,Djibouti,DJI,2.46476841,3.74855995178223,0.17
2017,YR2017,Dominica,DMA,5.45470619,4.7667498588562,..
2017,YR2017,Dominican Republic,DOM,5.83058023,3.92026996612549,0.33
2017,YR2017,Early-demographic dividend,EAR,4.98915818571992,4.35768985748291,0.217276130844531
2017,YR2017,East Asia & Pacific,EAS,6.49685135235294,4.08553981781006,..
2017,YR2017,East Asia & Pacific (excluding high income),EAP,4.81332779548211,3.87649488449097,..
2017,YR2017,East Asia & Pacific (IDA & IBRD countries),TEA,4.81351704873268,3.87649488449097,..
2017,YR2017,Ecuador,ECU,7.42857885,4.61426019668579,0.14
2017,YR2017,"Egypt, Arab Rep.",EGY,5.63305616,..,0.03
2017,YR2017,El Salvador,SLV,7.21280336,3.7252299785614,0.17
2017,YR2017,Equatorial Guinea,GNQ,2.95976138,..,..
2017,YR2017,Eritrea,ERI,3.72767901,..,0.09
2017,YR2017,Estonia,EST,6.59183788,4.95629978179932,0.17
2017,YR2017,Eswatini,SWZ,6.98103666,6.13809013366699,8.64
2017,YR2017,Ethiopia,ETH,3.45336151,5.64951992034912,0.17
2017,YR2017,Euro area,EMU,10.1674158010238,4.88274002075195,0.0541996784756187
2017,YR2017,Europe & Central Asia,ECS,9.25308538079672,4.78077983856201,..
2017,YR2017,Europe & Central Asia (excluding high income),ECA,5.13371427789461,4.09102010726929,..
2017,YR2017,Europe & Central Asia (IDA & IBRD countries),TEC,5.34940312830832,4.09102010726929,..
2017,YR2017,European Union,EUU,9.88456863376329,4.61972999572754,..
2017,YR2017,Faroe Islands,FRO,..,8.23338031768799,..
2017,YR2017,Fiji,FJI,3.18689561,4.65118980407715,0.14
2017,YR2017,Finland,FIN,9.12670135,6.36311006546021,..
2017,YR2017,Fragile and conflict affected situations,FCS,4.56102791684018,2.70759010314941,0.488513024571267
2017,YR2017,France,FRA,11.33276176,5.45160007476807,..
2017,YR2017,French Polynesia,PYF,..,..,..
2017,YR2017,Gabon,GAB,2.78068829,3.32680988311768,0.69
2017,YR2017,"Gambia, The",GMB,4.14472675,2.45918989181519,1
2017,YR2017,Georgia,GEO,7.05804443,3.57442998886108,0.16
2017,YR2017,Germany,DEU,11.32935143,4.88274002075195,0.03
2017,YR2017,Ghana,GHA,3.35796332,3.62737989425659,0.78
2017,YR2017,Gibraltar,GIB,..,..,..
2017,YR2017,Greece,GRC,8.10309219,3.47220993041992,0.04
2017,YR2017,Greenland,GRL,..,11.0285596847534,..
2017,YR2017,Grenada,GRD,4.65701056,3.17379999160767,..
2017,YR2017,Guam,GUM,..,..,..
2017,YR2017,Guatemala,GTM,6.13921785,2.95009994506836,0.06
2017,YR2017,Guinea,GIN,3.91060591,2.3203399181366,0.59
2017,YR2017,Guinea-Bissau,GNB,7.00049543,2.20000004768372,1.18
2017,YR2017,Guyana,GUY,4.31911182,4.6647801399231,0.49
2017,YR2017,Haiti,HTI,4.78747177,1.5911899805069,0.59
2017,YR2017,Heavily indebted poor countries (HIPC),HPC,4.83207957003094,3.62737989425659,0.747878731233701
2017,YR2017,High income,HIC,12.4122017359309,4.88274002075195,0.0774369318916071
2017,YR2017,Honduras,HND,6.98996687,4.93701982498169,0.08
2017,YR2017,"Hong Kong SAR, China",HKG,..,3.31010007858276,..
2017,YR2017,Hungary,HUN,6.75595856,4.61972999572754,..
2017,YR2017,IBRD only,IBD,..,..,..
2017,YR2017,Iceland,ISL,8.30908108,7.58385992050171,0.04
2017,YR2017,IDA & IBRD total,IBT,5.35297820370461,3.91296994686127,0.323034025495673
2017,YR2017,IDA blend,IDB,..,..,..
2017,YR2017,IDA only,IDX,..,..,..
2017,YR2017,IDA total,IDA,..,..,..
2017,YR2017,India,IND,2.93597651,..,0.05
2017,YR2017,Indonesia,IDN,2.90417194,2.6699800491333,0.13
2017,YR2017,"Iran, Islamic Rep.",IRN,8.42790699,3.79040002822876,0.03
2017,YR2017,Iraq,IRQ,4.19215298,..,..
2017,YR2017,Ireland,IRL,7.06397724,3.46884989738464,0.08
2017,YR2017,Isle of Man,IMN,..,..,..
2017,YR2017,Israel,ISR,7.28954744,6.10272979736328,..
2017,YR2017,Italy,ITA,8.6777401,4.04493999481201,0.06
2017,YR2017,Jamaica,JAM,6.14843798,5.26016998291016,0.6
2017,YR2017,Japan,JPN,10.65627003,..,0.01
2017,YR2017,Jordan,JOR,7.98199606,3.22853994369507,0.01
2017,YR2017,Kazakhstan,KAZ,3.05244446,2.75081992149353,0.17
2017,YR2017,Kenya,KEN,4.1409831,5.36668014526367,0.93
2017,YR2017,Kiribati,KIR,10.68678665,10.8631601333618,..
2017,YR2017,"Korea, Dem. People's Rep.",PRK,..,..,..
2017,YR2017,"Korea, Rep.",KOR,7.10694933,4.32823991775513,..
2017,YR2017,Kosovo,XKX,..,..,..
2017,YR2017,Kuwait,KWT,4.65326786,6.3654899597168,..
2017,YR2017,Kyrgyz Republic,KGZ,6.18586302,6.02618980407715,0.11
2017,YR2017,Lao PDR,LAO,2.52606821,..,0.14
2017,YR2017,Late-demographic dividend,LTE,5.64229803618433,4.22944498062134,..
2017,YR2017,Latin America & Caribbean,LCN,8.14816911320689,4.42176485061646,0.194665854126131
2017,YR2017,Latin America & Caribbean (excluding high income),LAC,8.10095718019992,4.43795490264892,0.195740370385997
2017,YR2017,Latin America & the Caribbean (IDA & IBRD countries),TLA,8.0882664227616,4.42176485061646,0.194821723387901
2017,YR2017,Latvia,LVA,5.97031736,4.37029981613159,..
2017,YR2017,Least developed countries: UN classification,LDC,4.05385158290955,3.45445001125336,0.723895664355291
2017,YR2017,Lebanon,LBN,7.7873559,2.13294005393982,0.03
2017,YR2017,Lesotho,LSO,10.08778667,8.15688991546631,6.83
2017,YR2017,Liberia,LBR,9.09297276,2.76128005981445,0.38
2017,YR2017,Libya,LBY,..,..,0.04
2017,YR2017,Liechtenstein,LIE,..,..,..
2017,YR2017,Lithuania,LTU,6.47513723,3.81220006942749,..
2017,YR2017,Low & middle income,LMY,5.30582722883547,3.92026996612549,0.324666858087101
2017,YR2017,Low income,LIC,5.39928153707008,2.98144006729126,0.564836260493185
2017,YR2017,Lower middle income,LMC,3.87162572718393,4.37884497642517,0.216148450879942
2017,YR2017,Luxembourg,LUX,5.25779152,3.56959009170532,..
2017,YR2017,"Macao SAR, China",MAC,..,2.70557999610901,..
2017,YR2017,Madagascar,MDG,4.84431553,2.8364200592041,0.21
2017,YR2017,Malawi,MWI,10.88755989,4.03133010864258,1.88
2017,YR2017,Malaysia,MYS,3.70413661,4.6753101348877,0.15
2017,YR2017,Maldives,MDV,9.24117565,3.88747000694275,..
2017,YR2017,Mali,MLI,3.67425632,3.78976988792419,0.33
2017,YR2017,Malta,MLT,8.89494133,4.65162992477417,..
2017,YR2017,Marshall Islands,MHL,16.07778358,..,..
2017,YR2017,Mauritania,MRT,3.33722878,..,..
2017,YR2017,Mauritius,MUS,5.80943251,5.02312994003296,0.8
